strain,date,clade_membership,country,region,url,author,accession
DENV_1/VN/BID_V4064/2008,2008-01-01 (2008-01-01 - 2008-09-03),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131813
NDF30,2008-12-31 (2008-08-02 - 2008-12-31),DENV1/I,Taiwan,China,,Chu et al (https://www.ncbi.nlm.nih.gov/pubmed/24040199),AB608786
DENV_1/VN/BID_V4066/2008,2008-12-31 (2008-02-23 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131815
DENV_1/VN/BID_V1323/2006,2006-05-24 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AE,EU660393
DENV_1/VN/BID_V1634/2006,2006-09-09 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410287
DENV_1/VN/BID_V1579/2007,2007-01-01 (2007-01-01 - 2007-09-16),DENV1/I,Vietnam,Southeast Asia,,Henn et al O,FJ024438
DENV_1/VN/BID_V985/2006,2006-04-16 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482529
DENV_1/VN/BID_V933/2007,2007-04-18 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482478
DENV_1/VN/BID_V969/2007,2007-06-27 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482514
DENV_1/VN/BID_V1628/2006,2006-05-04 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al O,FJ024444
DENV_1/VN/BID_V1540/2007,2007-06-18 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AI,EU677140
DENV_1/VN/BID_V1655/2007,2007-12-31 (2007-06-30 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al O,FJ024449
DENV_1/VN/BID_V3977/2008,2008-12-31 (2008-03-04 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131750
DENV_1/VN/BID_V1543/2007,2007-01-08 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AJ,EU677168
DENV_1/VN/BID_V1546/2007,2007-11-03 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AK,EU726778
DENV_1/VN/BID_V1694/2007,2007-06-02 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al H,FJ205883
DENV_1/VN/BID_V1545/2007,2007-12-31 (2007-04-21 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AJ,EU677170
DENV_1/VN/BID_V1547/2007,2007-01-21 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AJ,EU677171
DENV_1/VN/BID_V1503/2006,2006-02-04 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AE,EU660397
DENV_1/VN/BID_V1538/2007,2007-10-16 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AJ,EU677165
DENV_1/VN/BID_V4006/2008,2008-08-18 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131770
DENV_1/VN/BID_V1663/2007,2007-12-20 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AL,FJ182031
Hue265/2013,7/13/2013,DENV1/I,Vietnam,Southeast Asia,,?,KX595191
DENV_1/VN/BID_V2770/2007,2007-03-08 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199794
DENV_1/VN/BID_V1923/2008,2008-09-09 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410255
03_HD_009,2017-12-31 (2017-03-07 - 2017-12-31),DENV1/I,Vietnam,Southeast Asia,,?,LC428061
2013/NC/0566,5/10/2013,DENV1/I,New Caledonia,Oceania,,?,MN621140
Ncal2013,2013-09-12 (2013-01-01 - 2013-12-31),DENV1/I,New Caledonia,Oceania,,Fontaine et al (https://www.ncbi.nlm.nih.gov/pubmed/30005085),MG877555
PF13/190813_45,8/19/2013,DENV1/I,French Polynesia,Oceania,,Lequime et al (https://www.ncbi.nlm.nih.gov/pubmed/29497564),KY926848
DENV_1/VN/BID_V4077/2008,2008-02-26 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131825
DENV_1/VN/BID_V4051/2008,2008-08-15 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131804
DENV_1/VN/BID_V4076/2008,2008-01-01 (2008-01-01 - 2008-08-02),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131824
542_44DX3_180_P15_C1,7/18/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912165
400_44DX3_180_P0_C2,7/18/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912156
399_44DX3_180_P0_C5,7/18/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912155
01_TN_091,2017-01-01 (2017-01-01 - 2017-08-31),DENV1/I,Vietnam,Southeast Asia,,?,LC428058
GZ8H/2019107/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886839
D17510,10/10/2017,DENV1/I,China,China,,?,MN018327
D1/China/GDzj/D17112,2017-12-31 (2017-09-25 - 2017-12-31),DENV1/I,China,China,,?,MG840578
V44137,2015-11-01 (2015-11-01 - 2015-11-27),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033239
574_44DX3_197_P15_C1,8/16/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912237
593_44DX3_197_P20_C5,8/16/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912245
535_44DX3_172_P15_C6,7/6/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912114
481_44DX3_172_P15_C3,7/6/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912117
385_44DX3_172_P0_C1,7/6/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912130
389_44DX3_172_P0_C4,7/6/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912126
451_44DX3_172_P10_C3,7/6/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912123
D15349,10/9/2015,DENV1/I,China,China,,?,MN018307
V25657,2016-06-01 (2016-06-01 - 2016-06-26),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033254
01_TN_056,2017-12-31 (2017-05-16 - 2017-12-31),DENV1/I,Vietnam,Southeast Asia,,?,LC428079
01_TN_076,2017-01-01 (2017-01-01 - 2017-06-20),DENV1/I,Vietnam,Southeast Asia,,?,LC428073
19XN51078,10/4/2019,DENV1/I,China,China,,?,MN923095
19XN50806,8/30/2019,DENV1/I,China,China,,?,MN923090
19XN24768,10/3/2019,DENV1/I,China,China,,?,MN923084
2018XN24565,10/16/2018,DENV1/I,China,China,,?,MN933669
19XN23547,9/23/2019,DENV1/I,China,China,,?,MN923077
19XN26289,10/19/2019,DENV1/I,China,China,,?,MN923087
19XN51037,9/28/2019,DENV1/I,China,China,,?,MN923093
Henan201903,4/9/2019,DENV1/I,China,China,,Du et al,MK905537
19XN06518,4/8/2019,DENV1/I,China,China,,?,MN923099
19XN23939,9/25/2019,DENV1/I,China,China,,?,MN923079
LSDFV02,6/7/2019,DENV1/I,China,China,,?,MN444624
19XN51056,10/2/2019,DENV1/I,China,China,,?,MN923094
19XN50797,8/25/2019,DENV1/I,China,China,,?,MN923089
19XNDC*2LIN,8/30/2019,DENV1/I,China,China,,?,MN923097
19XN24503,9/25/2019,DENV1/I,China,China,,?,MN923083
19XN29819F,12/11/2019,DENV1/I,China,China,,?,MN960677
738_44DX3_185_P20_C4,7/31/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912179
739_44DX3_185_P20_C6,7/31/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912178
473_44DX3_185_P10_C6,7/31/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912190
503_44DX3_185_P15_C3,7/31/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912188
405_44DX3_185_P0_C5,7/31/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912199
406_44DX3_185_P0_C2,7/31/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912198
504_44DX3_185_P15_C2,7/31/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912186
D1/China/GDzs/D16163/2016_Vietnam_,2016-02-23 (2016-01-01 - 2016-12-31),DENV1/I,China,China,,?,MG840569
D16163,2/25/2016,DENV1/I,China,China,,?,MN018332
D16165,2/25/2016,DENV1/I,China,China,,?,MN018334
D1/China/GDzs/D16165/2016_Bali_,2016-02-26 (2016-01-01 - 2016-12-31),DENV1/I,China,China,,?,MG840571
D1/China/GDzs/D16164/2016_Vietnam_,2016-02-26 (2016-01-01 - 2016-12-31),DENV1/I,China,China,,?,MG840570
D16164,2/25/2016,DENV1/I,China,China,,?,MN018333
458_44DX3_176_P10_C5,7/12/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912143
460_44DX3_176_P10_C4,7/12/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912142
395_44DX3_176_P0_C4,7/12/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912147
416_44DX3_176_P20_C3,7/12/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912134
417_44DX3_176_P20_C5,7/12/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912133
538_44DX3_176_P15_C1,7/12/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912140
744_44DX3_193_P20_C1,8/9/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912219
570_44DX3_193_P15_C5,8/9/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912215
573_44DX3_193_P15_C6,8/9/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912218
587_44DX3_193_P20_C5,8/9/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912220
571_44DX3_193_P15_C2,8/9/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912216
518_44DX3_193_P10_C6,8/9/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912213
513_44DX3_193_P10_C1,8/9/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912209
515_44DX3_193_P10_C5,8/9/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912210
508_44DX3_193_P0_C3,8/9/2017,DENV1/I,Vietnam,Southeast Asia,,?,MN912204
LNT1128_Laos_2009,9/16/2009,DENV1/I,Laos,Southeast Asia,,Dubot-Peres et al (https://www.ncbi.nlm.nih.gov/pubmed/23951379),KC172832
DENV1_384,2009-12-31 (2009-03-25 - 2009-12-31),DENV1/I,Thailand,Southeast Asia,,?,KU509256
KDH0026A_06/15/2010,6/15/2010,DENV1/I,Thailand,Southeast Asia,,?,MN448632
KDH0026A,2010-05-06 (2010-01-01 - 2010-12-31),DENV1/I,Thailand,Southeast Asia,,Fansiri et al (https://www.ncbi.nlm.nih.gov/pubmed/23935524),HG316481
DENV_1/VN/BID_V3842/2008,2008-12-31 (2008-02-29 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GU131680
ZJ01/2004,2004-01-01 (2004-01-01 - 2004-07-14),DENV1/I,China,China,,Lu et al,AY835999
UNKNOWN_DQ836632,2004-10-31 (2004-10-05 - 2004-10-31),DENV1/I,China,China,,Xu et al (https://www.ncbi.nlm.nih.gov/pubmed/17556633),DQ836632
ThD1_0049_01,2001-01-01 (2001-01-01 - 2001-09-06),DENV1/I,Thailand,Southeast Asia,,Zhang et al A (https://www.ncbi.nlm.nih.gov/pubmed/16306584),AY732482
ThD1_0102_01,2001-01-01 (2001-01-01 - 2001-06-11),DENV1/I,Thailand,Southeast Asia,,Zhang et al A (https://www.ncbi.nlm.nih.gov/pubmed/16306584),AY732479
SV68_Laos_2008,10/6/2008,DENV1/I,Laos,Southeast Asia,,Dubot-Peres et al (https://www.ncbi.nlm.nih.gov/pubmed/23951379),KC172834
DENV_1/TH/BID_V2275/2001,2001-02-28 (2001-01-01 - 2001-12-31),DENV1/I,Thailand,Southeast Asia,,Henn et al AM,FJ687431
DENV_1/TH/BID_V2272/2001,2001-10-07 (2001-01-01 - 2001-12-31),DENV1/I,Thailand,Southeast Asia,,Henn et al AM,FJ687429
DENV_1/TH/BID_V2273/2001,2001-01-01 (2001-01-01 - 2001-06-21),DENV1/I,Thailand,Southeast Asia,,Henn et al S,FJ850068
DENV_1/TH/BID_V2269/2001,2001-01-01 (2001-01-01 - 2001-05-17),DENV1/I,Thailand,Southeast Asia,,Henn et al AM,FJ687426
DENV_1/TH/BID_V2270/2001,2001-03-11 (2001-01-01 - 2001-12-31),DENV1/I,Thailand,Southeast Asia,,Henn et al AM,FJ687427
DENV_1/TH/BID_V2271/2001,2001-12-31 (2001-10-06 - 2001-12-31),DENV1/I,Thailand,Southeast Asia,,Henn et al AM,FJ687428
UI18014,8/26/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849734
UI15219,9/24/2009,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849726
UI17517,7/23/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849731
UI17968,8/23/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849733
UI18022,8/26/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849735
UI14612,7/7/2009,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849724
UI18560,10/13/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849737
UI18058,8/30/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849736
LNT1660,8/17/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849703
UI17524,7/24/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849702
UI15711,12/4/2009,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849728
UI15040,9/3/2009,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849725
UI18608,10/19/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849739
UI15814,12/24/2009,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849729
UI17443,7/18/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849730
UI17268,7/6/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849747
UI18600,10/18/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849738
UI14881,8/12/2009,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849746
SDDF1543,2008-12-31 (2008-03-11 - 2008-12-31),DENV1/I,Taiwan,China,,Chu et al (https://www.ncbi.nlm.nih.gov/pubmed/24040199),AB608787
DENV_1/China/YN/GM1502_2015_,10/22/2015,DENV1/I,China,China,,Hu et al,KY672934
19XN24386,9/28/2019,DENV1/I,China,China,,?,MN923081
YNBN1004,10/29/2017,DENV1/I,China,China,,Guan et al,MK167013
YNBN1007,10/31/2017,DENV1/I,China,China,,Guan et al,MK167018
YNBN1001,10/20/2017,DENV1/I,China,China,,Guan et al,MK166992
DEN1/GZ/OY,2006-02-07 (2006-01-01 - 2006-12-31),DENV1/I,China,China,,Chen et al C (https://www.ncbi.nlm.nih.gov/pubmed/21473933),FJ176779
GD02/06,2006-12-31 (2006-09-01 - 2006-12-31),DENV1/I,China,China,,Wu et al A (https://www.ncbi.nlm.nih.gov/pubmed/21703015),FJ196844
GZ/6553/D1/2006,2006-12-31 (2006-03-31 - 2006-12-31),DENV1/I,China,China,,Bai et al,KT827365
GZ8_A3795/M/GZ/2006/DEV1,2015-01-01 (2015-01-01 - 2015-11-25),DENV1/I,China,China,,Zhao et al C,KX225491
V35737,2012-08-31 (2012-08-04 - 2012-08-31),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033202
DENV_1/China/YN/YNH12_2013_,10/8/2013,DENV1/I,China,China,,Hu et al,KY672943
GZ8H/2019120/2013/I,12/30/2013,DENV1/I,China,China,,?,MN886914
GZ8_67/S/Baiyun/2013/DEV1,2015-01-01 (2015-01-01 - 2015-11-25),DENV1/I,China,China,,Zhao et al C,KX225490
DV1_SL_2009d,2009-02-12 (2009-01-01 - 2009-12-31),DENV1/I,Sri Lanka,South Asia,,Tissera et al A,HQ891316
DV1_SL_2009c,2009-01-01 (2009-01-01 - 2009-08-28),DENV1/I,Sri Lanka,South Asia,,Tissera et al A,HQ891315
DV1_SL_2009b,2009-01-01 (2009-01-01 - 2009-05-18),DENV1/I,Sri Lanka,South Asia,,Tissera et al A,HQ891314
DV1_SL_2009e,2009-12-31 (2009-06-27 - 2009-12-31),DENV1/I,Sri Lanka,South Asia,,Tissera et al B (https://www.ncbi.nlm.nih.gov/pubmed/22099096),JN054256
S124,5/6/2018,DENV1/I,Sri Lanka,South Asia,,?,MT006147
D15126,5/27/2015,DENV1/I,China,China,,?,MN018320
DV1_SL_2009a,2009-01-01 (2009-01-01 - 2009-08-28),DENV1/I,Sri Lanka,South Asia,,Tissera et al A,HQ891313
DV1_SL_2010b,2010-01-01 (2010-01-01 - 2010-09-02),DENV1/I,Sri Lanka,South Asia,,Tissera et al B (https://www.ncbi.nlm.nih.gov/pubmed/22099096),JN054255
V9200,2014-03-01 (2014-03-01 - 2014-03-28),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033215
V23771,2014-06-30 (2014-06-04 - 2014-06-30),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033219
FT_DNS1_311_S14_R3,10/5/2016,DENV1/I,India,South Asia,,?,MK858138
SL_2012_GS0308,2012-03-01 (2012-03-01 - 2012-03-28),DENV1/I,Sri Lanka,South Asia,,Ocwieja et al (https://www.ncbi.nlm.nih.gov/pubmed/24799375),KJ726664
BNI_5201,2013-12-31 (2013-04-20 - 2013-12-31),DENV1/I,Germany,Europe,,Punzel et al (https://www.ncbi.nlm.nih.gov/pubmed/25062084),KJ468234
D1/China/GDgz/D15305/2015_SriLanka_,2015-01-01 (2015-01-01 - 2015-10-08),DENV1/I,China,China,,?,MG840553
DK87,2014-12-31 (2014-06-27 - 2014-12-31),DENV1/I,Sri Lanka,South Asia,,Murugananthan et al,KP398852
SL_2012_GS0292,2012-02-01 (2012-02-01 - 2012-02-26),DENV1/I,Sri Lanka,South Asia,,Ocwieja et al (https://www.ncbi.nlm.nih.gov/pubmed/24799375),KJ726665
V42876,2011-10-01 (2011-10-01 - 2011-10-28),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033196
SL_2012_GS0319,2012-04-30 (2012-04-04 - 2012-04-30),DENV1/I,Sri Lanka,South Asia,,Ocwieja et al (https://www.ncbi.nlm.nih.gov/pubmed/24799375),KJ726662
SL_2012_GS0289,2012-02-01 (2012-02-01 - 2012-02-26),DENV1/I,Sri Lanka,South Asia,,Ocwieja et al (https://www.ncbi.nlm.nih.gov/pubmed/24799375),KJ726663
KDC0010A2_11/10/2009,11/11/2009,DENV1/I,Thailand,Southeast Asia,,?,MN448597
KDH0002A_11/10/2009,11/9/2009,DENV1/I,Thailand,Southeast Asia,,?,MN448631
KDC1149A_10/10/2012,10/10/2012,DENV1/I,Thailand,Southeast Asia,,?,MN448625
KDH0309A_10/09/2012,10/9/2012,DENV1/I,Thailand,Southeast Asia,,?,MN448694
KDC1148A_10/10/2012,10/10/2012,DENV1/I,Thailand,Southeast Asia,,?,MN448624
KDC1151A_10/10/2012,10/10/2012,DENV1/I,Thailand,Southeast Asia,,?,MN448627
KDC1153A_10/10/2012,10/10/2012,DENV1/I,Thailand,Southeast Asia,,?,MN448629
KDC1150A_10/10/2012,10/10/2012,DENV1/I,Thailand,Southeast Asia,,?,MN448626
KDC1152A_10/10/2012,10/10/2012,DENV1/I,Thailand,Southeast Asia,,?,MN448628
KDC0722A_07/27/2011,7/28/2011,DENV1/I,Thailand,Southeast Asia,,?,MN448619
KDH0081A_10/27/2010,10/20/2010,DENV1/I,Thailand,Southeast Asia,,?,MN448640
V32089,2012-08-31 (2012-08-04 - 2012-08-31),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033201
Cairns_2013b,2013-05-31 (2013-01-01 - 2013-12-31),DENV1/I,Australia,Oceania,,?,MT921569
SG_EHI_D1/27197Y13,2013-01-01 (2013-01-01 - 2013-08-30),DENV1/I,Singapore,Southeast Asia,,Ng et al (https://www.ncbi.nlm.nih.gov/pubmed/25846296),KJ806946
YNPE1,9/1/2015,DENV1/I,China,China,,Shi et al,MF405201
19XN28258F,11/16/2019,DENV1/I,China,China,,?,MN960676
KDH0198A_11/10/2011,11/9/2011,DENV1/I,Thailand,Southeast Asia,,?,MN448677
KDH0201A_11/28/2011,11/28/2011,DENV1/I,Thailand,Southeast Asia,,?,MN448679
KDH0199A_11/14/2011,11/14/2011,DENV1/I,Thailand,Southeast Asia,,?,MN448678
KDH0073A_09/23/2010,9/23/2010,DENV1/I,Thailand,Southeast Asia,,?,MN448638
KDH0152A_07/13/2011,7/12/2011,DENV1/I,Thailand,Southeast Asia,,?,MN448660
KDH0144A_06/30/2011,6/29/2011,DENV1/I,Thailand,Southeast Asia,,?,MN448656
DENV1_17461,2012-12-31 (2012-07-29 - 2012-12-31),DENV1/I,Thailand,Southeast Asia,,Shihada et al (https://www.ncbi.nlm.nih.gov/pubmed/28098525),KU509250
KDH0082A_11/01/2010,11/1/2010,DENV1/I,Thailand,Southeast Asia,,?,MN448641
KDH0087A_12/08/2010,12/7/2010,DENV1/I,Thailand,Southeast Asia,,?,MN448642
KDC0394A_09/27/2010,9/28/2010,DENV1/I,Thailand,Southeast Asia,,?,MN448598
KDH0068A_09/14/2010,9/14/2010,DENV1/I,Thailand,Southeast Asia,,?,MN448637
D1/Taiwan/813KH9809b,1998-09-01 (1998-09-01 - 1998-09-27),DENV1/I,Taiwan,China,,?,KY496856
UI14029,4/9/2009,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849745
D1Myanmar305/01,2001-04-13 (2001-01-01 - 2001-12-31),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY713476
D1Myanmar31987/98,1998-01-01 (1998-01-01 - 1998-11-01),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY726554
D1Myanmar059/01,2001-01-01 (2001-01-01 - 2001-11-11),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY708047
DENV_1/China/YN/DGRL_32_2014_,8/8/2014,DENV1/I,China,China,,Hu et al,KY672938
D1Myanmar37726/01,2001-12-31 (2001-07-07 - 2001-12-31),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY726549
D1Myanmar44168/01,2001-12-31 (2001-03-10 - 2001-12-31),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY726551
D1Myanmar49440/02,2002-04-19 (2002-01-01 - 2002-12-31),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY726553
DENV_1/TH/BID_V2274/2001,2001-01-01 (2001-01-01 - 2001-09-01),DENV1/I,Thailand,Southeast Asia,,Henn et al AM,FJ687430
DENV_1/TH/BID_V2277/2001,2001-12-31 (2001-09-17 - 2001-12-31),DENV1/I,Thailand,Southeast Asia,,Henn et al AM,FJ687433
DENV_1/TH/BID_V2276/2001,2001-01-01 (2001-01-01 - 2001-05-14),DENV1/I,Thailand,Southeast Asia,,Henn et al AM,FJ687432
V30629,2014-07-01 (2014-07-01 - 2014-07-28),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033222
D15121,9/10/2015,DENV1/I,China,China,,?,MN018296
D15123,9/5/2015,DENV1/I,China,China,,?,MN018312
D1/China/GDsd/D15123/2015,2015-09-03 (2015-01-01 - 2015-12-31),DENV1/I,China,China,,?,MG840550
D15122,8/29/2015,DENV1/I,China,China,,?,MN018311
D15125,9/8/2015,DENV1/I,China,China,,?,MN018313
D1/China/GDsd/D15125/2015,2015-09-09 (2015-01-01 - 2015-12-31),DENV1/I,China,China,,?,MG840552
DENV_1/KH/BID_V1978/2000,2000-01-01 (2000-01-01 - 2000-05-30),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639669
DENV_1/KH/BID_V1983/2001,2001-12-31 (2001-04-10 - 2001-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639672
DENV_1/KH/BID_V1979/2001,2001-12-31 (2001-03-17 - 2001-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639670
DENV_1/KH/BID_V1991/2003,2003-01-28 (2003-01-01 - 2003-12-31),DENV1/I,Cambodia,Southeast Asia,,?,GQ868619
DENV_1/KH/BID_V1997/2004,2004-09-24 (2004-01-01 - 2004-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639682
DENV_1/VN/BID_V2826/2003,2003-02-26 (2003-01-01 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882563
DENV_1/VN/BID_V2825/2003,2003-08-23 (2003-01-01 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882562
DENV_1/KH/BID_V1995/2003,2003-01-01 (2003-01-01 - 2003-05-13),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639680
DENV_1/KH/BID_V1996/2003,2003-09-02 (2003-01-01 - 2003-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639681
DENV_1/KH/BID_V3794/2003,2003-12-31 (2003-09-21 - 2003-12-31),DENV1/I,Cambodia,Southeast Asia,,Zody et al A,KF955445
DENV_1/KH/BID_V1989/2003,2003-01-01 (2003-01-01 - 2003-09-26),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639677
DENV_1/VN/BID_V2709/2006,2006-12-31 (2006-03-27 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882534
DENV_1/VN/BID_V4072/2008,2008-10-06 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AG,HM181970
DENV_1/VN/BID_V1830/2007,2007-12-31 (2007-06-20 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410211
DENV_1/VN/BID_V2905/2006,2006-04-11 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,?,FJ898420
DENV_1/VN/BID_V2718/2006,2006-10-29 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199772
