strain,date,url,clade_membership,country,region,age,age_range1,age_range2,age_range3,collab_country,date_added,symptom,author,accession
USA/OH/2018-23088,2018-08-10 (2018-07-11 - 2018-09-10),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245982
USA/OH/2018-23255,2018-07-25 (2018-06-11 - 2018-09-23),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246018
EVD68_BEL_008_181011_NFLG,2018-10-11,,B3,Belgium,Europe,4.17,1-5y,<18y,<18y,Leuven Belgium,9/9/2019,,"Hodcroft, E. B. et al.",MN245403
EVD68_BEL_010_181002_NFLG,2018-10-02,,B3,Belgium,Europe,4,1-5y,<18y,<18y,Leuven Belgium,9/9/2019,,"Hodcroft, E. B. et al.",MN245405
EVD68_BEL_006_181010_NFLG,2018-10-10,,B3,Belgium,Europe,0.92,<1y,<18y,<18y,Leuven Belgium,9/9/2019,,"Hodcroft, E. B. et al.",MN245401
USA/GA/2018-23218,2018-08-24 (2018-05-30 - 2018-12-12),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246011
USA/MO/2018-23197,2018-11-13 (2018-08-11 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245990
ENTSP_RS1_00020,2018-08-31 (2018-08-08 - 2018-08-31),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659598
USA/TX/2018-23202,2018-07-21 (2018-05-02 - 2018-11-09),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245995
USA/WA/2018-23201,2018-07-21 (2018-05-02 - 2018-11-09),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245994
USA/NY/2018-23219,2018-09-08 (2018-06-24 - 2018-12-13),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246012
USA/MN/2018-23263,2018-08-25 (2018-06-21 - 2018-11-24),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246026
ENTSP_RS1_00018,2018-09-21 (2018-09-01 - 2018-09-30),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659596
ENTSP_RS1_00027,2018-09-30 (2018-09-05 - 2018-09-30),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659601
USA/MN/2018-23204,2018-10-24 (2018-08-28 - 2018-12-22),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245997
USA/MN/2018-23205,2018-10-10 (2018-08-13 - 2018-12-09),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245998
USA/2018-23087,2018-08-26 (2018-08-01 - 2018-08-31),,B3,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Castro,C.J., Schmidt,A., Reynolds,E., Chern,S.-W.W., Ciomperlik,J. and Nix,W.A.",MK491180
USA/CO/2018-23087,2018-08-07 (2018-07-02 - 2018-09-11),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245981
ENTSP_RS1_00007,2018-09-30 (2018-09-06 - 2018-09-30),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659592
DK_07_2019,2019-09-20,,B3,Denmark,Europe,0,<1y,<18y,<18y,SSI Denmark,12/1/2019,,Midgley et al.,MN896978
USA/CA/2018-RGDS-1041,2018-09-28 (2018-09-01 - 2018-09-30),,B3,USA,North America,,,,,,7/15/2019,,"Pan,C.-Y., Padilla,T., Huynh,T., Castro,C.J., Ng,T.F.F., Marine,R.L., Nix,W.A. and Wadford,D.A.",MK689392
CA-RGDS-1069,2018-09-11 (2018-09-01 - 2018-09-30),,B3,USA,North America,,,,,,1/22/2020,,"Pan,C.-Y., Huynh,T., Padilla,T., Chen,A., Castro,C.J., Marine,R.L., Ng,T.F.F., Nix,W.A., Morales,C. and Wadford,D.A.",MN365200
USA/MT/2018-23276,2018-07-19 (2018-05-24 - 2018-10-03),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246039
USA/2018-23089,2018-09-21 (2018-09-01 - 2018-09-30),,B3,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Castro,C.J., Schmidt,A., Reynolds,E., Chern,S.-W.W., Ciomperlik,J. and Nix,W.A.",MK491182
USA/MA/2018-23089,2018-08-25 (2018-07-14 - 2018-10-10),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245983
CHN/CQ2860/2012,2012-02-01 (2012-01-05 - 2012-02-01),,B,China,China,1.33,1-5y,<18y,<18y,,7/15/2019,,"Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.",KT803589
CA/AFP/11-1767,2013-01-01 (2013-01-01 - 2013-03-21),,B1,USA,North America,,,,,,7/15/2019,,"Chiu,C.Y., Yu,G., Naccache,S.N., Clayton,A., Yagi,S. and Glaser,C.",KM892501
2011-21186,2011-11-15,,B1,China,China,15,6-17y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT280503
2013-0720-6,2013-07-20,,B1,China,China,5,1-5y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT280504
2011-21282,2011-12-19,,B1,China,China,10,6-17y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT285320
EV-D68/Homosapiens/USA/O466a/2012,2012-09-06,,B1,USA,North America,9,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255365
CA/AFP/v12T00346,2013-01-01 (2012-12-07 - 2013-01-01),,B1,USA,North America,,,<18y,<18y,,7/15/2019,AFM,"Chiu,C.Y., Yu,G., Naccache,S.N., Clayton,A., Yagi,S. and Glaser,C.",KM892499
EV-D68/Homosapiens/USA/O774a/2012,2012-09-04,,B1,USA,North America,10,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255377
EV-D68/Homosapiens/USA/O775a/2012,2012-09-11,,B1,USA,North America,10,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255414
EV-D68/Homosapiens/USA/U4470/2012,2012-08-10,,B1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255370
EV-D68/Homosapiens/USA/U4486/2012,2012-08-03,,B1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255399
EV-D68/Homosapiens/USA/U4489/2012,2012-08-16,,B1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255356
V12-2268728,2012-07-21,,B1,Hong Kong,China,2,1-5y,<18y,<18y,,7/15/2019,,"Yip,C.C.Y., Lo,J.Y.C., Sridhar,S., Lung,D.C., Luk,S., Chan,K.H., Chan,J.F.W., Cheng,V.C.C., Woo,P.C.Y., Yuen,K.Y. and Lau,S.K.P.",KY767820
EV-D68/Homosapiens/USA/O810a/2012,2012-09-05,,B1,USA,North America,10,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255383
US/CO/13-60,2013-11-30 (2013-11-05 - 2013-11-30),,B1,USA,North America,,,<18y,<18y,,7/15/2019,AFM,"Greninger,A.L., Naccache,S.N., Yu,G., Messacar,K., Somasekar,S., Dominguez,S. and Chiu,C.Y.",KP100794
NY329,2014-09-26,,B1,USA,North America,8,6-17y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745767
NY160,2014-10-05,,B1,USA,North America,11,6-17y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745756
USA/MI/2014-19082,2014-10-15,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KU669045
USA/VA/2014-19178,2014-09-08,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995539
USA/VA/2014-19218,2014-09-12,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995574
EV-D68/Homosapiens/USA/C7730/2014,2014-09-11,,B1,USA,North America,15,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255411
USA/IA/2014-19171,2014-09-10,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995548
EV-D68/Homosapiens/USA/C7716/2014,2014-07-26,,B1,USA,North America,15,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255403
EV-D68/Homosapiens/USA/C7715/2014,2014-07-22,,B1,USA,North America,15,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255362
EV-D68/Homosapiens/USA/C7714/2014,2014-07-20,,B1,USA,North America,15,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255390
EV-D68/Homosapiens/USA/C7729/2014,2014-09-08,,B1,USA,North America,14,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255378
EV-D68/Homosapiens/USA/C7793/2014,2014-10-03,,B1,USA,North America,15,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255379
CAN14-144,2014-08-25 (2014-07-12 - 2014-11-03),,B1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455279
EV-D68/Homosapiens/USA/C7720/2014,2014-08-12,,B1,USA,North America,14,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255352
EV-D68/Homosapiens/USA/C7721/2014,2014-08-14,,B1,USA,North America,14,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255415
EV68/Ontario/C818712/2014,2014-09-15,,B1,Canada,North America,,,,,,7/15/2019,,"Eshaghi,A., Li,A., Banh,P., Patel,S.N. and Gubbay,J.B.",KT835408
EV-D68/Homosapiens/USA/C7733/2014,2014-09-13,,B1,USA,North America,14,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255385
EV-D68/Homosapiens/USA/C7731/2014,2014-09-12,,B1,USA,North America,14,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255354
USA/MI/2014-19265,2014-09-25,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KU669043
USA/OH/2014-19192,2014-08-29,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995557
EV-D68/Homosapiens/USA/SSENT10/2014,2014-09-19,,B1,USA,North America,9,6-17y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351812
USA/MA/2014-19183,2014-09-10,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995547
EVD68/Homosapiens/USA/MO35/2014,2014-06-25 (2014-01-01 - 2014-12-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347275
USA/OH/2014-19240,2014-09-17,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995604
USA/PA/2014-19177,2014-09-08,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995538
CAN14-187,2014-06-18 (2014-01-01 - 2014-12-31),,B1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455280
USA/OH/2014-19223,2014-08-27 (2014-06-14 - 2014-12-12),,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995587
USA/SC/2014-19196,2014-09-08,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995562
EVD68/Homosapiens/USA/MO41/2014,2014-09-07 (2014-07-11 - 2014-11-22),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347247
US/CA/14-4232,2014-12-31 (2014-11-05 - 2014-12-31),,B1,USA,North America,,,,,,7/15/2019,,"Hixon,A., Yu,G., Tyler,K. and Chiu,C.Y.",KU844180
USA/VA/2014-19181,2014-09-09,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995544
USA/IL/2014-19179,2014-09-06,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995542
USA/KY/2014-19182,2014-09-07,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995545
NYS14_31249,2014-08-23 (2014-06-30 - 2014-11-14),,B1,USA,North America,,,,,,7/15/2019,,"Lamson,D.M., Fagan,S. and St. George,K.",KT455427
EV68_Alberta4693_2014,2014-08-31,,B1,Canada,North America,,,,,,7/15/2019,,"Pabbaraju,K., Wong,S., Zarra,D., Gill,K., Drews,S., Tipples,G. and Tellier,R.",KP114663
EVD68/Homosapiens/USA/MO12/2014,2014-10-17 (2014-07-24 - 2014-12-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347258
USA/PA/2014-19263,2014-09-09,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995628
EVD68/Homosapiens/USA/MO19/2014,2014-09-08 (2014-07-07 - 2014-11-24),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347233
EVD68/Homosapiens/USA/MO8/2014,2014-08-27 (2014-06-27 - 2014-11-09),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347278
EVD68/Homosapiens/USA/MO51/2014,2014-08-18 (2014-06-22 - 2014-11-07),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347252
EVD68/Homosapiens/USA/MO33/2014,2014-12-31 (2014-12-05 - 2014-12-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347254
EV-D68/Homosapiens/USA/O4445/2013,2013-10-07,,B1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255387
EV-D68/Homosapiens/USA/O4446/2013,2013-10-15,,B1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255398
EV-D68/Homosapiens/USA/O4444/2013,2013-10-15,,B1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Fedorova,N., Puri,V., Stockwell,T., Shrivastava,S., Amedeo,P., Shabman,R., Jackson,D.J. and Gern,J.E.",KX433165
EV-D68/Homosapiens/USA/O3797/2013,2013-08-28,,B1,USA,North America,7,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Fedorova,N., Puri,V., Stockwell,T., Shrivastava,S., Amedeo,P., Shabman,R., Jackson,D.J. and Gern,J.E.",KX433156
EV-D68/Homosapiens/USA/O4417/2013,2013-09-11,,B1,USA,North America,7,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255368
EV-D68/Homosapiens/USA/O4413/2013,2013-10-01,,B1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255384
EV-D68/Homosapiens/USA/O4415/2013,2013-09-25,,B1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255406
EV-D68/Homosapiens/USA/U5282/2014,2014-09-26,,B1,USA,North America,9,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255375
EV-D68/Homosapiens/USA/SSENT29/2014,2014-09-21,,B1,USA,North America,5,1-5y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351794
MEX/DF/2014-InDRE2351,2014-10-23,,B1,Mexico,North America,15,6-17y,<18y,<18y,,7/15/2019,,"Lopez-Martinez,I., Torres-Longoria,B., Barrera-Badillo,G., Ruiz-Lopez,A., Fierro-Valdez,M.A., Ortiz-Alcantara,J.M., Garces-Ayala,F., Gonzalez-Villa,M., Escobar-Escamilla,N., Ramirez-Gonzalez,J.E. and Diaz-Quinonez,J.A.",KT825142
CAN14-185,2014-11-30 (2014-07-17 - 2014-12-31),,B1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455278
EV-D68/Homosapiens/USA/C7732/2014,2014-09-12,,B1,USA,North America,14,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255367
USA/IA/2014-19225,2014-06-06 (2014-01-01 - 2014-12-31),,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995589
EV-D68/Homosapiens/USA/SSENT23/2014,2014-09-17,,B1,USA,North America,4,1-5y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351823
USA/CT/2014-19208,2014-09-12,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995575
NY124,2014-09-29,,B1,USA,North America,0.8,<1y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745752
NY314,2014-09-24,,B1,USA,North America,1,1-5y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745763
EV-D68/Homosapiens/USA/SSENT11/2014,2014-09-18,,B1,USA,North America,8,6-17y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351797
USA/CA/2014-RGDS-1027,2014-09-30 (2014-09-07 - 2014-09-30),,B1,USA,North America,,,,,,7/15/2019,,"Pan,C.-Y., Huynh,T., Padilla,T., Ng,T.F.F., Castro,C.J., Marine,R.L., Nix,W.A. and Wadford,D.A.",MK681492
CAN14-455,2014-10-26 (2014-09-06 - 2014-12-24),,B1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455276
USA/CT/2014-19201,2014-09-13,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995567
USA/KY/2014-19167,2014-08-22,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995532
EV-D68/Homosapiens/USA/SSENT27/2014,2014-09-20,,B1,USA,North America,11,6-17y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351795
