strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,accession,host,mutational_fitness,pango_lineage,recency,region,url,author,originating_lab,submitting_lab,logistic_growth
NZL/20CV0332/2020,9/8/2020,2,20A,New Zealand,,Canterbury,20A,202037,OK427120,Homo sapiens,0.09,B.1.36.18,Older,Oceania,,Ren et al R,Canterbury Health Laboratories,Institute of Environmental Science and Research,
IND/GBRC562b/2020,12/15/2020,3,20A,India,,India,20A,202051,MZ310511,Homo sapiens,0.09,B.1.36,Older,Asia,,Sharma et al A,,,
IND/GBRC441/2020,11/24/2020,2,20A,India,,Gujarat,20A,202048,MW595918,Homo sapiens,0.08,B.1.36,Older,Asia,,Puvar et al,,Gujarat Biotechnology Research Centre,
IND/GBRC461/2021,2/14/2021,5,20A,India,,India,20A,202107,MZ254770,Homo sapiens,0.07,B.1.36,Older,Asia,,Shah et al,,,
CHN/RS4_pool/2021,1/16/2021,1,20A,China,,China,20A,202102,MZ578003,Homo sapiens,0.08,B.1.36,Older,Asia,,Xu et al,,,
HongKong/Case5161/2020,10/8/2020,1,20A,Hong Kong,,Hong Kong,20A,202041,MW181762,Homo sapiens,0.08,B.1.36,Older,Asia,,Siu et al C,,,
VeroE6/HKG/HKPU-00014/2021,1/6/2021,1,20A,Hong Kong,,Hong Kong,20A,202101,MW856793,,0.08,B.1.36,Older,Asia,,Siu et al D,,,
USA/VT-CDC-2-4044713/2020,11/27/2020,1,20A,USA,,Vermont,20A,202048,MZ779864,Homo sapiens,0.02,B.1.110.3,Older,North America,,Sheth et al A,,,
CHL/Santiago-PUC_MVL_0038/2020,3/26/2020,1,20A,Chile,,Chile,20A,202013,MW365177,Homo sapiens,0.01,B.1.110,Older,South America,,Direct Submission et al B,,,
CHL/Santiago-PUC_MVL_0175/2020,4/12/2020,1,20A,Chile,,Chile,20A,202016,MW364991,Homo sapiens,0.04,B.1.110,Older,South America,,Direct Submission et al C,,,
CHL/Santiago-op24d6/2020,4/17/2020,1,20A,Chile,,Chile,20A,202016,MW365281,Homo sapiens,0.04,B.1.110,Older,South America,,Direct Submission et al D,,,
EGY/CUNCI-HGC007/2020,5/2/2020,1,20A,Egypt,,Egypt,20A,202018,MT510700,Homo sapiens,0.01,B.1,Older,Africa,,Zekri et al A,,,
BHR/920319237_S17_L001/2020,7/26/2020,2,20A,Bahrain,,Bahrain,20A,202031,MW228056,Homo sapiens,-0.03,B.1,Older,Asia,,AlWasti et al C,,,
EGY/EGY-144/2020,8/29/2020,1,20A,Egypt,,Egypt,20A,202035,MT994984,Homo sapiens,-0.01,B.1,Older,Africa,,Seadawy et al A,,,
USA/NM-QDX-2538/2020,3/13/2020,1,20C,USA,,New Mexico,20C,202011,MW191228,Homo sapiens,0.02,B.1,Older,North America,,Rosenthal et al C,Quest Diagnostics,Quest Diagnostics,
BEN/1409/2020,4/6/2020,1,20C,Benin,,Benin,20C,202015,MT653077,Homo sapiens,-0.03,B.1.356,Older,Africa,,Sander et al A,,,
USA/PA-QDX-2435/2020,3/13/2020,2,20C,USA,,Pennsylvania,20C,202011,MW191270,Homo sapiens,0,B.1,Older,North America,,Rosenthal et al D,Quest Diagnostics,Quest Diagnostics,
USA/IL-RUSH-COVID-0685/2020,5/5/2020,1,20C,USA,,Illinois,20C,202019,MZ363517,Homo sapiens,-0.03,B.1,Older,North America,,Forberg et al,,,
USA/MD-MDH-0185/2020,6/6/2020,1,20C,USA,,Maryland,20C,202023,MW010250,Homo sapiens,-0.05,B.1,Older,North America,,Keller et al,,,
NZL/20CV0283/2020,3/26/2020,1,20C,New Zealand,,Canterbury,20C,202013,OK427151,Homo sapiens,-0.02,B.1,Older,Oceania,,Ren et al S,Canterbury Health Laboratories,Institute of Environmental Science and Research,
DJI/NAMRU3_010/2020,6/15/2020,1,20C,Djibouti,,Djibouti,20C,202025,MZ970717,Homo sapiens,-0.02,B.1.324,Older,Africa,,Arnold et al E,,,
CHL/Santiago-PUC_MVL_0019/2020,3/20/2020,1,20C,Chile,,Chile,20C,202012,MW365193,Homo sapiens,-0.03,B.1.321,Older,South America,,Direct Submission et al E,,,
NZL/20CV0325/2020,4/2/2020,2,20C,New Zealand,,Midcentral,20C,202014,OK427122,Homo sapiens,-0.03,B.1,Older,Oceania,,Ren et al T,Canterbury Health Laboratories,Institute of Environmental Science and Research,
BEN/260/2020,3/17/2020,2,20C,Benin,,Benin,20C,202012,MT653072,Homo sapiens,-0.01,B.1,Older,Africa,,Sander et al B,,,
VEN/3NE/2020,4/10/2020,1,20C,Venezuela,,Venezuela,20C,202015,MT907516,Homo sapiens,-0.04,B.1,Older,South America,,Loureiro et al C,,,
NZL/20CV0298/2020,3/26/2020,1,20C,New Zealand,,South Canterbury,20C,202013,OK426610,Homo sapiens,-0.03,B.1.369,Older,Oceania,,Ren et al U,Canterbury Health Laboratories,Institute of Environmental Science and Research,
USA/SC_NIDDL_14841/2020,8/4/2020,1,20C,USA,,South Carolina,20C,202032,MW976898,Homo sapiens,-0.03,B.1.369,Older,North America,,Voegtly et al A,,,
NZL/20VR2001/2020,4/1/2020,1,20C,New Zealand,,New Zealand,20C,202014,MZ332129,Homo sapiens,-0.03,B.1.369,Older,Oceania,,Geoghegan et al C,,Institute of Environmental Science and Research,
NZL/20VR1937/2020,4/1/2020,1,20C,New Zealand,,Southland,20C,202014,OK426554,Homo sapiens,-0.03,B.1.369,Older,Oceania,,Ren et al V,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/20VR2037/2020,4/1/2020,1,20C,New Zealand,,Wellington,20C,202014,OK426750,Homo sapiens,-0.03,B.1.369,Older,Oceania,,Ren et al W,Wellington SCL (WN),Institute of Environmental Science and Research,
USA/NE-Noblis-S04B03/2020,9/30/2020,1,20C,USA,,Nebraska,20C,202040,MZ267338,Homo sapiens,-0.01,B.1.564,Older,North America,,Brinkac et al,,Noblis,
KOR/ADD-2i/2020,12/4/2020,1,20C,South Korea,,South Korea,20C,202049,MZ004105,Homo sapiens,-0.04,B.1.497,Older,Asia,,Song et al,,,
USA/TN-VUMC-000276/2020,11/24/2020,1,20C,USA,,Tennessee,20C,202048,OK372224,Homo sapiens,-0.05,B.1.451,Older,North America,,Vestal et al,Vanderbilt University Medical Center - Suman R. Das Lab,Vanderbilt University Medical Center,
USA/OR-QDX-3447/2020,8/11/2020,2,20C,USA,,Oregon,20C,202033,MW521776,Homo sapiens,-0.04,B.1.495,Older,North America,,Rosenthal et al E,,,
SLE/SL04/2020,12/7/2020,1,20C,Sierra Leone,,Sierra Leone,20C,202050,MZ411527,Homo sapiens,-0.04,B.1.509,Older,Africa,,Wurie et al A,,,
USA/NV-CDC-2-3714155/2020,12/4/2020,2,20C,USA,,Nevada,20C,202049,MW495989,Homo sapiens,-0.04,B.1.3,Older,North America,,Queen et al D,,,
BRA/RJ01/2020,3/23/2020,1,20C,Brazil,,Brazil,20C,202013,MT710714,Homo sapiens,-0.03,B.1,Older,South America,,Souza et al A,,,
BRA/RJ-DCVN1/2020,3/23/2020,1,20C,Brazil,,Brazil,20C,202013,MT827202,Homo sapiens,-0.03,B.1,Older,South America,,Souza et al B,,,
USA/WV118926/2020,4/10/2020,1,20C,USA,,West Virginia,20C,202015,MZ498099,Homo sapiens,-0.04,B.1,Older,North America,,Denvir et al A,,,
ISR/NH_GD2_0714/2020,7/14/2020,1,20C,Israel,,Israel,20C,202029,MW201577,Homo sapiens,0,B.1.504,Older,Asia,,Zaide et al A,,,
GHA/2333_S5/2020,3/27/2020,1,20C,Ghana,,Ghana,20C,202013,MT890224,Homo sapiens,-0.03,B.1,Older,Africa,,Ngoi et al C,,,
ARG/Cordoba-1413/2020,9/15/2020,2,20C,Argentina,,Argentina,20C,202038,MW633899,Homo sapiens,-0.01,B.1.499,Older,South America,,Castro et al A,,,
ARG/Cordoba-891/2020,9/14/2020,1,20C,Argentina,,Argentina,20C,202038,MW633900,Homo sapiens,-0.03,B.1.499,Older,South America,,Castro et al B,,,
HongKong/Case5000/2020,9/19/2020,1,20C,Hong Kong,,Hong Kong,20C,202038,MW181760,Homo sapiens,-0.02,B.1.499,Older,Asia,,Siu et al E,,,
USA/TX_GCID_192000440/2020,4/23/2020,2,20C,USA,,Texas,20C,202017,MZ353013,Homo sapiens,-0.02,B.1,Older,North America,,Doddapaneni et al,"Baylor College of Medicine, Houston",Baylor College of Medicine Human Genome Sequencing Center,
USA/SC-USC-COM511/2020,4/4/2020,2,20C,USA,,South Carolina,20C,202014,MT856681,Homo sapiens,-0.04,B.1.521,Older,North America,,Ji et al,,,
USA/KS-BIE-CAT00283/2020,4/8/2020,1,20C,USA,,Kansas,20C,202015,OL589091,Homo sapiens,-0.02,B.1.450,Older,North America,,Feehan et al,,,
AUS/TAS111/2020,3/31/2020,1,20C,Australia,,Tasmania,20C,202014,MT973440,Homo sapiens,-0.03,B.1,Older,Oceania,,Sait et al F,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
USA/MS-USAFSAM-S021/2020,3/19/2020,1,20C,USA,,Mississippi,20C,202012,MT873888,Homo sapiens,-0.02,B.1,Older,North America,,Fries et al A,United States Air Force School of Aerospace Medicine,United States Air Force School of Aerospace Medicine,
USA/MS-QDX-3493/2020,9/9/2020,1,20C,USA,,Mississippi,20C,202037,MW521732,Homo sapiens,-0.02,B.1.265,Older,North America,,Rosenthal et al F,,,
NZL/20CV0273/2020,3/23/2020,1,20C,New Zealand,,Nelson Marlborough,20C,202013,OK427093,Homo sapiens,-0.02,B.1,Older,Oceania,,Ren et al X,Canterbury Health Laboratories,Institute of Environmental Science and Research,
USA/MO-UW-771/2020,7/6/2020,1,20C,USA,,Missouri,20C,202028,MT795884,Homo sapiens,-0.04,B.1,Older,North America,,Moreno et al A,,,
USA/ID-UW-6457/2020,4/3/2020,1,20C,USA,,Idaho,20C,202014,MT461634,Homo sapiens,-0.02,B.1,Older,North America,,Roychoudhury et al A,,,
NZL/20VR2917/2020,4/25/2020,1,20C,New Zealand,,Auckland,20C,202017,OK426852,Homo sapiens,-0.02,B.1,Older,Oceania,,Ren et al Y,LabPLUS,Institute of Environmental Science and Research,
NZL/20VR2931/2020,4/25/2020,1,20C,New Zealand,,Auckland,20C,202017,OK426805,Homo sapiens,-0.02,B.1,Older,Oceania,,Ren et al Z,LabPLUS,Institute of Environmental Science and Research,
USA/MS-USAFSAM-S025/2020,3/30/2020,1,20C,USA,,Mississippi,20C,202014,MT873891,Homo sapiens,-0.01,B.1.595,Older,North America,,Fries et al B,United States Air Force School of Aerospace Medicine,United States Air Force School of Aerospace Medicine,
USA/MN-MDH-1706/2020,8/21/2020,1,20C,USA,,Minnesota,20C,202034,MW052681,Homo sapiens,0.02,B.1.595,Older,North America,,Plumb et al,,,
USA/CA-CZB-25199/2020,11/20/2020,1,20C,USA,,California,20C,202047,MW739911,Homo sapiens,0.06,B.1.595,Older,North America,,Consortium et al,Alameda County Public Health Lab,Chan-Zuckerberg Biohub Covidtracker,
AUS/NT52/2020,7/8/2020,1,20C,Australia,,Northern Territory,20C,202028,MT972100,Homo sapiens,-0.01,B.1.595,Older,Oceania,,Sait et al G,Royal Darwin Hospital Pathology,The Peter Doherty Institute for Infection and Immunity,
USA/WI-UW-263/2020,4/8/2020,1,20C,USA,,Wisconsin,20C,202015,MT429185,Homo sapiens,-0.01,B.1.595,Older,North America,,Moreno et al B,,,
USA/AR-CDC-2-3769356/2020,12/26/2020,2,20G,USA,,Arkansas,20G,202052,MW550521,Homo sapiens,0.18,B.1.2,Older,North America,,Queen et al E,,,
USA/hCov_19_USA_ID_IVREF_694071_2020/2020,12/20/2020,1,20G,USA,,Idaho,20G,202052,OL965795,Homo sapiens,0.07,B.1.2,Older,North America,,Beukelman et al A,,,
USA/hCov_19_USA_ID_IVREF_636054_2020/2020,7/29/2020,1,20G,USA,,Idaho,20G,202031,OL966637,Homo sapiens,0.06,B.1.2,Older,North America,,Beukelman et al B,,,
NZL/20CV0363/2020,9/21/2020,1,20G,New Zealand,,Canterbury,20G,202039,OK426443,Homo sapiens,0.07,B.1.2,Older,Oceania,,Ren et al AA,LabPLUS,Institute of Environmental Science and Research,
USA/NV-QDX-3264/2020,11/12/2020,2,20G,USA,,Nevada,20G,202046,MW522445,Homo sapiens,0.07,B.1.2,Older,North America,,Rosenthal et al G,,,
NZL/21CV0048/2021,1/7/2021,2,20G,New Zealand,,Canterbury,20G,202101,OK427068,Homo sapiens,0.06,B.1.2,Older,Oceania,,Ren et al AB,Canterbury Health Laboratories,Institute of Environmental Science and Research,
DJI/NAMRU3_B215/2021,2/9/2021,3,20G,Djibouti,,Djibouti,20G,202106,OK018255,Homo sapiens,0.1,B.1.2,Older,Africa,,Arnold et al F,,,
USA/AR-CDC-2-3693771/2020,10/29/2020,1,20G,USA,,Arkansas,20G,202044,MW406520,Homo sapiens,0.1,B.1.2,Older,North America,,Queen et al F,,,
TWN/CGMH-CGU-43/2020,12/21/2020,2,20G,Taiwan,,Taiwan,20G,202052,MZ020651,Homo sapiens,0.06,B.1.2,Older,Asia,,Tsao et al B,,,
USA/IA-CDC-2-3714371/2020,11/29/2020,2,20G,USA,,Iowa,20G,202049,MW496060,Homo sapiens,0.08,B.1.2,Older,North America,,Queen et al G,,,
NZL/21CV0098/2021,1/17/2021,2,20G,New Zealand,,Canterbury,20G,202103,OK426704,Homo sapiens,0.08,B.1.2,Older,Oceania,,Ren et al AC,Canterbury Health Laboratories,Institute of Environmental Science and Research,
USA/TN-SPHL-1298/2021,1/21/2021,2,20G,USA,,Tennessee,20G,202103,OL965030,Homo sapiens,0.16,B.1.2,Older,North America,,Selinsky et al A,Tennessee Department of Health Laboratory Services,FDA CVM NARMS - Tennesse DOH,
USA/KS-CDC-LC0000303/2020,12/26/2020,1,20G,USA,,Kansas,20G,202052,MW984690,Homo sapiens,0.09,B.1.2,Older,North America,,Howard et al A,,,
USA/NC-CDC-2-3920745/2020,12/29/2020,1,20G,USA,,North Carolina,20G,202053,MW730923,Homo sapiens,0.06,B.1.2,Older,North America,,Queen et al H,,,
USA/SC-COVID21-0296/2021,2/5/2021,1,20G,USA,,South Carolina,20G,202105,MW748109,Homo sapiens,0.05,B.1.2,Older,North America,,Flores et al A,,,
USA/MP-CDC-2-3998467/2021,2/20/2021,1,20G,USA,,Northern Mariana Islands,20G,202107,MZ779757,Homo sapiens,0.07,B.1.2,Older,North America,,Sheth et al B,,,
USA/LA-CDC-STM-000020095/2021,2/20/2021,3,20G,USA,,Louisiana,20G,202107,MW942146,Homo sapiens,0.11,B.1.2,Older,North America,,Howard et al B,,,
USA/KS-CDC-2-4014773/2021,3/3/2021,1,20G,USA,,Kansas,20G,202109,MZ779773,Homo sapiens,0.08,B.1.2,Older,North America,,Sheth et al C,,,
USA/OH-CDC-2-3714454/2020,11/16/2020,1,20G,USA,,Ohio,20G,202047,MW496010,Homo sapiens,0.06,B.1.2,Older,North America,,Queen et al I,,,
USA/GA-EHC-640R/2021,1/19/2021,1,20G,USA,,Georgia,20G,202103,MZ313050,Homo sapiens,0.07,B.1.2,Older,North America,,Piantadosi et al,,,
USA/NH-CDC-QDX21679491/2021,1/31/2021,2,20G,USA,,New Hampshire,20G,202105,MW666279,Homo sapiens,0.02,B.1.2,Older,North America,,Cook et al A,,,
USA/WI-CDC-LC0041586/2021,4/3/2021,1,20G,USA,,Wisconsin,20G,202113,MZ037318,Homo sapiens,0.09,B.1.2,Older,North America,,Howard et al C,,,
NZL/20CV0675/2020,12/19/2020,1,20G,New Zealand,,Canterbury,20G,202051,OK426944,Homo sapiens,0.09,B.1.2,Older,Oceania,,Ren et al AD,Canterbury Health Laboratories,Institute of Environmental Science and Research,
IND/GBRC491a/2020,11/27/2020,2,20G,India,,India,20G,202048,MZ261927,Homo sapiens,0.09,B.1.2,Older,Asia,,Sharma et al B,,,
USA/FL-BPHL-2814/2020,11/24/2020,2,20G,USA,,Florida,20G,202048,MW523478,Homo sapiens,0.11,B.1.2,Older,North America,,Schmedes et al A,Florida Bureau of Public Health Laboratories,FLDOH,
USA/CO-Broad-CMU_00116/2020,11/10/2020,3,20G,USA,,Colorado,20G,202046,MW454489,Homo sapiens,0.12,B.1.2,Older,North America,,Lemieux et al A,Colorado Mesa University,Broad Institute of Harvard and MIT,
USA/MA-CDC-LC0014613/2021,2/10/2021,3,20G,USA,,Massachusetts,20G,202106,MW705765,Homo sapiens,0.14,B.1.2,Older,North America,,Cook et al B,,,
USA/AR-CDC-QDX22862036/2021,3/12/2021,2,20G,USA,,Arkansas,20G,202110,MW816188,Homo sapiens,0.13,B.1.2,Older,North America,,Cook et al C,,,
AUS/VIC545/2020,3/24/2020,1,20C,Australia,,Victoria,20C,202013,MT451373,Homo sapiens,-0.03,B.1.314,Older,Oceania,,Seemann et al F,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
CHL/Puerto_Montt-PUC_MVL_0065/2020,3/25/2020,1,20C,Chile,,Chile,20C,202013,MW365152,Homo sapiens,-0.03,B.1,Older,South America,,Direct Submission et al F,,,
TUN/TUN_ADAGE_EZ504/2020,5/31/2020,2,20C,Tunisia,,Tunisia,20C,202023,MT955170,Homo sapiens,-0.03,B.1,Older,Africa,,Souissi et al A,,,
COL/Cali-01/2020,4/2/2020,1,20C,Colombia,,Colombia,20C,202014,MT470219,Homo sapiens,-0.03,B.1,Older,South America,,Lopez et al,,,
GEO/Tb-27822/2020,6/11/2020,1,20C,Georgia,,Georgia (Asia),20C,202024,MT834849,Homo sapiens,0,B.1,Older,Asia,,Pantsulaia et al,,,
USA/WY-WYPHL-20007411/2020,4/2/2020,1,20C,USA,,Wyoming,20C,202014,MT791312,Homo sapiens,-0.03,B.1,Older,North America,,Hull et al,Wyoming Public Health Laboratory,Wyoming Public Health Laboratory,
DJI/NAMRU3_CL1/2020,4/28/2020,1,20C,Djibouti,,Djibouti,20C,202018,MZ970746,Homo sapiens,-0.03,B.1,Older,Africa,,Arnold et al G,,,
DJI/NAMRU3_004/2020,5/22/2020,1,20C,Djibouti,,Djibouti,20C,202021,OK018220,Homo sapiens,-0.03,B.1,Older,Africa,,Arnold et al H,,,
USA/NMDOH-2020017512/2020,4/7/2020,1,20C,USA,,New Mexico,20C,202015,MW493669,Homo sapiens,-0.03,B.1,Older,North America,,Johnson et al B,New Mexico Department of Health Scientific Laboratory,New Mexico Department of Health Scientific Laboratory,
USA/UT-UPHL-201006663/2020,4/4/2020,1,20C,USA,,Utah,20C,202014,MW172725,Homo sapiens,-0.03,B.1,Older,North America,,Young et al,Utah Public Health Laboratory,Utah Public Health Laboratory Infectious Disease submission group,
DNK/DK-AHH1/2020,5/20/2020,2,20C,Denmark,,Denmark,20C,202021,MZ049597,Homo sapiens,-0.03,B.1,Older,Europe,,Ramirez et al,,,
USA/VA_NIDDL_11058/2020,7/8/2020,1,20C,USA,,Virginia,20C,202028,MW976916,Homo sapiens,-0.03,B.1.451,Older,North America,,Voegtly et al B,,,
USA/OH-USAFSAM-S044/2020,4/1/2020,1,20C,USA,,Ohio,20C,202014,MT873906,Homo sapiens,-0.03,B.1,Older,North America,,Fries et al C,United States Air Force School of Aerospace Medicine,United States Air Force School of Aerospace Medicine,
USA/CUIMC-NP-4785/2021,1/26/2021,5,20C,USA,,New York,20C,202104,MZ680907,Homo sapiens,0.48,B.1.637,Older,North America,,Annavajhala et al,,,
USA/NY-CDC-STM-000052374/2021,4/8/2021,5,20C,USA,,New York,20C,202114,MZ060205,Homo sapiens,0.42,B.1.637,Older,North America,,Howard et al D,,,
USA/RI-CDC-ASC210024859/2021,3/27/2021,4,21F (Iota),USA,,Rhode Island,21F (Iota),202112,OK292074,Homo sapiens,0.38,B.1.526,Older,North America,,Howard et al E,,,
USA/HI-CDC-2-4451569/2021,5/12/2021,4,21F (Iota),USA,,Hawaii,21F (Iota),202119,MZ358716,Homo sapiens,0.33,B.1.526,Older,North America,,Sheth et al D,,,
USA/PA-CDC-STM-000068328/2021,5/2/2021,4,21F (Iota),USA,,Pennsylvania,21F (Iota),202118,MZ278972,Homo sapiens,0.39,B.1.526,Older,North America,,Howard et al F,,,
USA/NY-CDC-QDX21994451/2021,2/11/2021,4,21F (Iota),USA,,New York,21F (Iota),202106,MW975149,Homo sapiens,0.41,B.1.526,Older,North America,,Howard et al G,,,
USA/MA-CDC-STM-000039946/2021,3/18/2021,4,21F (Iota),USA,,Massachusetts,21F (Iota),202111,MW891003,Homo sapiens,0.39,B.1.526,Older,North America,,Howard et al H,,,
MAR/RMPS01/2020,4/13/2020,1,20C,Morocco,,Morocco,20C,202016,MT731285,Homo sapiens,-0.03,B.1,Older,Africa,,Laamarti et al A,,,
CHL/Santiago-PUC_MVL_0403/2020,5/12/2020,1,20C,Chile,,Chile,20C,202020,MW365022,Homo sapiens,-0.03,B.1,Older,South America,,Direct Submission et al G,,,
USA/WV118676/2020,5/11/2020,2,20C,USA,,West Virginia,20C,202020,MZ497585,Homo sapiens,-0.03,B.1,Older,North America,,Denvir et al B,,,
USA/KY-QDX-3309/2020,7/10/2020,1,20C,USA,,Kentucky,20C,202028,MW522420,Homo sapiens,-0.03,B.1,Older,North America,,Rosenthal et al H,,,
MAR/RMPS05/2020,3/30/2020,1,20C,Morocco,,Morocco,20C,202014,MT731746,Homo sapiens,-0.03,B.1,Older,Africa,,Laamarti et al B,,,
KEN/C66376/2020,10/23/2020,2,20C,Kenya,,Kenya,20C,202043,OL454588,Homo sapiens,0,A,Older,Africa,,Githinji et al A,,,
USA/UMW22078677/2020,11/18/2020,1,20C,USA,,New Hampshire,20C,202047,MW882594,Homo sapiens,-0.03,B.1,Older,North America,,Ward et al,,,
GHA/nmimr-SARS-CoV-2-NTRA-15015/2020,12/24/2020,1,20C,Ghana,,Ghana,20C,202052,MW598428,Homo sapiens,0.07,B.1.361,Older,Africa,,Adu et al A,,,
USA/LA-BIE-LSUH000880/2020,7/11/2020,1,20C,USA,,Louisiana,20C,202028,MZ457511,Homo sapiens,-0.02,B.1.582,Older,North America,,Crabtree et al,,,
USA/VA-CDC-2-3714292/2020,11/9/2020,1,20C,USA,,Virginia,20C,202046,MW496035,Homo sapiens,0.04,B.1.568,Older,North America,,Queen et al J,,,
NZL/20VR3112/2020,5/8/2020,1,20C,New Zealand,,New Zealand,20C,202019,MZ332415,Homo sapiens,-0.03,B.1,Older,Oceania,,Geoghegan et al D,,Institute of Environmental Science and Research,
USA/NE-QDX-4513/2020,10/6/2020,1,20C,USA,,Nebraska,20C,202041,MW566541,Homo sapiens,-0.05,B.1.324,Older,North America,,Rosenthal et al I,,,
USA/MA-MGH-03101/2020,8/31/2020,2,20C,USA,,Massachusetts,20C,202036,MW454603,Homo sapiens,0.08,B.1.517,Older,North America,,Lemieux et al B,Massachusetts General Hospital,Broad Institute of Harvard and MIT,
USA/CT-QDX-3402/2020,10/29/2020,3,20C,USA,,Connecticut,20C,202044,MW522387,Homo sapiens,0.08,B.1.517,Older,North America,,Rosenthal et al J,,,
USA/WY-QDX-1066/2020,3/20/2020,1,20C,USA,,Wyoming,20C,202012,MW065213,Homo sapiens,-0.03,B.1,Older,North America,,Rosenthal et al K,Quest Diagnostics,Quest Diagnostics,
IRQ/IRQ-BAS1/2020,10/1/2020,2,20C,Iraq,,Iraq,20C,202040,MW512847,Homo sapiens,0.01,B.1.428.1,Older,Asia,,Abu-Ali et al,,,
TUN/TUN202055006/2020,10/31/2020,1,20C,Tunisia,,Tunisia,20C,202044,MW250244,Homo sapiens,0.01,B.1.428.2,Older,Africa,,Boutiba-Ben Boubaker et al A,,,
TUN/TUN_ADAGE_J-24755-20/2020,11/8/2020,1,20C,Tunisia,,Tunisia,20C,202046,MW452539,Homo sapiens,0.01,B.1.428.2,Older,Africa,,Souissi et al B,,,
USA/NC-CDC-STM-000041812/2021,3/23/2021,3,21C (Epsilon),USA,,North Carolina,21C (Epsilon),202112,MW891493,Homo sapiens,0.2,B.1.427,Older,North America,,Howard et al I,,,
USA/WY-CDC-2-4084615/2021,3/19/2021,4,21C (Epsilon),USA,,Wyoming,21C (Epsilon),202111,MW887987,Homo sapiens,0.16,B.1.427,Older,North America,,Sheth et al E,,,
USA/MI-MDHHS-SC28456/2021,4/5/2021,4,21C (Epsilon),USA,,Michigan,21C (Epsilon),202114,OL810436,Homo sapiens,0.15,B.1.427,Older,North America,,Blankenship et al A,,,
USA/SC-COVID21-0159/2021,1/29/2021,3,21C (Epsilon),USA,,Hawaii,21C (Epsilon),202104,MW743312,Homo sapiens,0.13,B.1.429,Older,North America,,Flores et al B,,,
USA/WA-S5727/2021,3/17/2021,3,21C (Epsilon),USA,,Washington,21C (Epsilon),202111,MW931523,Homo sapiens,0.18,B.1.429,Older,North America,,Nickerson et al,Seattle Flu Study,Seattle Flu Study submission group,
USA/HI-CDC-2-4282527/2021,3/26/2021,3,21C (Epsilon),USA,,Hawaii,21C (Epsilon),202112,MZ143872,Homo sapiens,0.14,B.1.429,Older,North America,,Sheth et al F,,,
NZL/20CV0676/2020,12/20/2020,4,21C (Epsilon),New Zealand,,Canterbury,21C (Epsilon),202052,OK426664,Homo sapiens,0.15,B.1.429,Older,Oceania,,Ren et al AE,Canterbury Health Laboratories,Institute of Environmental Science and Research,
NZL/20CV0715/2020,12/28/2020,4,21C (Epsilon),New Zealand,,Auckland,21C (Epsilon),202053,OK426883,Homo sapiens,0.15,B.1.429,Older,Oceania,,Ren et al AF,Middlemore Hospital,Institute of Environmental Science and Research,
KEN/C92733/2021,4/20/2021,5,20C,Kenya,,Kenya,20C,202116,OL739845,Homo sapiens,0.18,,Older,Africa,,Githinji et al B,,,
SouthAfrica/NHLS-UCT-GS-7073/2020,11/27/2020,7,"20H (Beta, V2)",South Africa,,South Africa,"20H (Beta, V2)",202048,OM739225,Homo sapiens,0.29,B.1.351,One week ago,Africa,,Viana et al A,,,
